date,tweet,kasus_baru,clean_tweet
2021-12-03,Personil Polsek Srandakan dipimpin Panit Binmas Aiptu Azhar M laksanakan giat KRYD dan PPKM Level antisipasi cur,245,personil polsek srandakan dipimpin panit binmas aiptu azhar memang laksanakan giat kryd ppkm level antisipasi cur
2021-12-03,Menteri Keuangan Sri Mulyani Indrawati mengatakan refocusing anggaran Majelis Permusyawaratan Rakyat MPR harus d,245,menteri keuangan sri mulyani indrawati refocusing anggaran majelis permusyawaratan rakyat mpr jadi
2021-12-03,Perayaan Natal Harus Mengacu PPKM via,245,perayaan natal mengacu ppkm via
2021-12-03,PTM Terbatas Tetap Jalan Saat PPKM Level berita nusabali PTM PPKMLevel DisdikporaBadung,245,ptm terbatas jalan ppkm level berita nusabali ptm ppkmlevel disdikporabadung
2021-12-03,Geh Gais ada info ga sii ppkm mulai tgl berapa sampe tgl berapa,245,geh  info tidak sii ppkm tgl sampai tgl
2021-12-03,Forum Komunikasi Pimpinan Daerah Surabaya sepakat mendukung penerapan level PPKM serentak kurun Desember,245,forum komunikasi pimpinan daerah surabaya sepakat mendukung penerapan level ppkm serentak kurun desember
2021-12-03,Asal tahu saja semua kementrian lembaga kena pemotongan anggaran bukan hanya saja Anggaran tsb difokusk,245,kementrian lembaga kena pemotongan anggaran anggaran tsb difokusk
2021-12-03,Prosedur dan Syarat Perjalanan selama PPKM Level Nataru,245,prosedur syarat perjalanan ppkm level nataru
2021-12-03,Selain PPKM ada dua kunci keberhasilan memerangi pandemi covid ini yakni Taat disiplin PROKES Vaksinasi y,245,ppkm kunci keberhasilan memerangi pandemi covid taat disiplin prokes vaksinasi yang
2021-12-03,Refocusing anggaran dilakukan untuk membantu rakyat miskin dengan meningkatkan bantuan sosial bansos memberikan,245,refocusing anggaran membantu rakyat miskin meningkatkan bantuan sosial bansos
2021-12-03,udah ada pasti tp nnt klo udh bnyak yg kena bru ppkm level bisnis pcr biar lncar,245,sudah tapi nnt kalau udah bnyak yang kena bru ppkm level bisnis pcr supaya lncar
2021-12-03,Mantep liburan enak liburan skrg nnti klo akhir taun soalnya ppkm ya wkwkw,245,mantep liburan enak liburan sekarang nnti kalau taun ppkm iya wkwkw
2021-12-03,Prosedur dan Syarat Perjalanan selama PPKM Level Nataru TempoGrafis,245,prosedur syarat perjalanan ppkm level nataru tempografis
2021-12-03,Jamin rasa aman pada hari Jumat tgl Desember Pkl WIB s d selesai telah dilaksanakan Giat patroli d,245,jamin aman jumat tgl desember pkl wib saja jadi selesai dilaksanakan giat patroli jadi
2021-12-03,Mari kita dukung pemerintah untuk mengatur perjalanan luar negeri menerapkan karantina yang sesuai dan patuh pera,245,mari dukung pemerintah mengatur perjalanan negeri menerapkan karantina sesuai patuh pera
2021-12-03,Salah satunya adalah PPKM Level yang mulai berlaku Desember hingga Januari,245,salah satunya ppkm level berlaku desember januari
2021-12-03,Tujuannya adalah untuk membantu penangan Covid misalnya klaim pasien yang melonjak akselerasi vaksinasi Anggar,245,tujuannya membantu penangan covid klaim pasien melonjak akselerasi vaksinasi anggar
2021-12-03,Wujudkan kondusifitas wilayah dilaksanakan Giat patroli gabungan dalam rangka Pelaksanaan PPKM LEVEL II membat,245,wujudkan kondusifitas wilayah dilaksanakan giat patroli gabungan rangka pelaksanaan ppkm level ii membat
2021-12-03,ppkm pagi pagi ku mules,245,ppkm pagi pagi perilakunya mules
2021-12-03,Rencan ke jogja sblm ppkm Tp ga pas weekend xixixi,245,rencan jogja sblm ppkm tapi tidak pas weekend xixixi
2021-12-03,Sedang menunggu kabar dibuka atau gak jalurnya Mengingat ppkm yg ga asyik,245,menunggu kabar dibuka tidak jalurnya ppkm yang tidak asyik
2021-12-03,Memange gaweane MPR itu apa sih Cuma Lantik Presiden Terpilih kan Itu saja tahun sekali Mbok yo m,245,memange gaweane mpr sih lantik presiden terpilih mbok yo memang
2021-12-03,Bhabinkamtibmas Sabaru Aiptu Irwan Darmawan bersama petugas PPKM Keluraan Sabaru dengan melaksanakan Sosialisasi Pr,245,bhabinkamtibmas sabaru aiptu irwan darmawan petugas ppkm keluraan sabaru melaksanakan sosialisasi pr
2021-12-03,Kosan aku lagi ppkm,245,kosan ppkm
2021-12-03,sepgu Mauuu ven an tp lg ga di jkt tgl itu gabs keluar dr jkt sampai januari kl d,245,sepgu mauuu ven memang tapi sekaligus tidak jkt tgl gabs dr jkt januari kalau jadi
2021-12-03,Serda Prapto Babinsa Kel Jungke Koramil Karanganyar melaksanakan kegiatan Patroli wilayah PPKM level pendisi,245,serda prapto babinsa perilakunya jungke koramil karanganyar melaksanakan kegiatan patroli wilayah ppkm level pendisi
2021-12-03,Perhimpunan Hotel dan Restoran Indonesia Kota Cirebon mendukung kebijakan pemberlakuan pembatasan kegiatan masyarak,245,perhimpunan hotel restoran indonesia kota cirebon mendukung kebijakan pemberlakuan pembatasan kegiatan masyarak
2021-12-03,Ternyata sudah ada jadwalnya Bulan Desember Kappa sedangkan Omicron baru akan ada bulan Juni Jad,245,jadwalnya desember kappa omicron juni jad
2021-12-03,CARA MENCEGAH COVID OMICRON BeritaTerkini beritaViral berita NEWS NewsUpdate Viral viralTiktok viraltwitter,245,mencegah covid omicron beritaterkini beritaviral berita news newsupdate viral viraltiktok viraltwitter
2021-12-03,Dirumah ppkm nder lupa lo,245,dirumah ppkm nder lupa kalau
2021-12-03,kuro chyd STOCK PCR MELIMPAH BIAR LAKU JUALN HRS ADA TRIK BARU PPKM LEVEL SEKARAT KLO BS,245,kuro chyd stock pcr melimpah supaya perilakunya jualn hrs trik ppkm level sekarat kalau bisa
2021-12-03,OBAT COVID DIKLAIM MENYEMBUHKAN BeritaTerkini beritaViral berita NEWS NewsUpdate Viral viralTiktok,245,mengobati covid diklaim menyembuhkan beritaterkini beritaviral berita news newsupdate viral viraltiktok
2021-12-03,DAFTAR NEGARA KASUS OMRICON BeritaTerkini beritaViral berita NEWS NewsUpdate Viral viralTiktok,245,daftar negara omricon beritaterkini beritaviral berita news newsupdate viral viraltiktok
2021-12-03,NEGARA ASIA TERINFEKSI OMICRON BeritaTerkini beritaViral berita NEWS NewsUpdate Viral viralTiktok,245,negara asia terinfeksi omicron beritaterkini beritaviral berita news newsupdate viral viraltiktok
2021-12-03,PPKM level Jakarta akan mulai diberlakukan akhir tahun ini Bagaimana ketentuannya,245,ppkm level jakarta diberlakukan ketentuannya
2021-12-03,Buka sampe malem sekarang Terakhir kesana cuma sampe jam aja gara Ppkm,245,buka sampai malem kesana sampai jam saja gara ppkm
2021-12-03,OPERASI PPKM GABUNGAN DAN PENDISIPLINAN PROTOKOL KESEHATAN DI WILAYAH KECAMATAN TEMBUKU,245,operasi ppkm gabungan pendisiplinan protokol kesehatan wilayah kecamatan tembuku
2021-12-03,Asal Covit BeraKhir Nd Darurat PPKM Di Cabut Wong Cilik Cari Duit Yo ndak Sulit Nd peraTusn Jangan Kokean The thek,245,covit tidak darurat ppkm cabut cilik cari duit yo tidak sulit tidak peratusn kokean the thek
2021-12-03,PPKM Level di Kota Bandung Tak Ada Penutupan Tempat Hiburan dan Wisata Sindonews BukanBeritaBiasa,245,ppkm level kota bandung penutupan hiburan wisata sindonews bukanberitabiasa
2021-12-03,PPKM kok bikin festival,245,ppkm membuat festival
2021-12-03,Ppkm para pencuri kelapa muda,245,ppkm pencuri kelapa muda
2021-12-03,Dan pola grasak grusuk ala WSBK Mandalika kjadian lagi dg ditundanya scr mndadak even IYC krn intrvensi pemeri,245,pola grasak grusuk ala wsbk mandalika kjadian dengan ditundanya scr mndadak even iyc karena intrvensi pemeri
2021-12-03,Belum umur segini juga tetep gabisa curi pandang rap soalnya lagi ppkm,245,umur segini tetap gabisa curi pandang rap ppkm
2021-12-03,Patroli memberikan himbauan dan teguran kepada Masyarakat Pemilik Usaha PKL dalam rangka PPKM Level I di Wilayah,245,patroli himbauan teguran masyarakat pemilik usaha pkl rangka ppkm level supaya wilayah
2021-12-03,Please semoga sama dgn jadwal global yg tgl ya min tar keburu kena ppkm klo diundur jd kurang,245,please semoga dengan jadwal global yang tgl iya min tar keburu kena ppkm kalau diundur jadi
2021-12-03,Mudah Menang Bermain amp Mudah Mendapatkan JACKPOT Langsung Saja Di Add Contact WA Salam Suk,245,mudah menang bermain sampai mudah jackpot langsung add contact wali kota salam suk
2021-12-03,Mudah Menang Bermain amp Mudah Mendapatkan JACKPOT Langsung Saja Di Add Contact WA Salam Suk,245,mudah menang bermain sampai mudah jackpot langsung add contact wali kota salam suk
2021-12-03,Keburu ppkm lagi ini mah soalnya gak tau bisa kapan,245,keburu ppkm mah tidak memantau
2021-12-03,Theater di Bali tutup lagi ya krna PPKM Level gabisa ntn Spidey dong elah,245,theater bali tutup iya krna ppkm level gabisa ntn spidey elah
2021-12-03,Anjing padahal hiburan dimasa ppkm level itu bgst,245,anjing hiburan dimasa ppkm level bgst
2021-12-04,Kalo udh urusan perut rakyat udah ga peduli percuma bikin PPKM berjilid atau bikin skenario plan,246,kalau udah urusan perut rakyat sudah tidak peduli membuat ppkm berjilid membuat skenario plan
2021-12-04,Iya minggu depan baru nyebrang lagi kalau ppkm gak dimajuin,246,iya minggu nyebrang ppkm tidak dimajuin
2021-12-04,hlow ngga boleh deket deket gi ppkm,246,hlow tidak deket deket begini ppkm
2021-12-04,Emng ditutup pendakian aku baca di komen ppkm level,246,emng ditutup pendakian baca komen ppkm level
2021-12-04,Baru minggu kemarin ngobrol sm temen deket pengen hiking lg k semeru abis ppkm taun baru nanti eh skrg semerunya,246,minggu kemarin ngobrol semoga temen deket ingin hiking sekaligus tidak semeru abis ppkm taun eh sekarang semerunya
2021-12-04,Postingan perdana PPKM zoom meet pasti stelan celpen,246,postingan perdana ppkm zoom meet stelan celpen
2021-12-04,gatauu lg siee kan ppkm lg,246,gatauu sekaligus siee ppkm sekaligus
2021-12-04,Potong bebek angsa masak di kuali Nona minta dansa dansa kali Pengen taun baruan di bali Malah kena ppkm berkali kali,246,potong bebek angsa masak kuali nona dansa dansa kali ingin taun baruan bali kena ppkm berkali kali
2021-12-04,gercep bgt depok sebelum ppkm natalan duluan,246,gercep sangat depok ppkm natalan duluan
2021-12-04,Hindari PPKM dan Maksimalkan Persiapan Panitia Muktamar Dukung Pelaksanaan Mundur Ke Januari,246,hindari ppkm maksimalkan persiapan panitia muktamar dukung pelaksanaan mundur januari
2021-12-04,menuju ppkm level RW jalan sehat untuk memperkenalkan bu lurah baru,246,ppkm level rw jalan sehat memperkenalkan penghibur lurah
2021-12-04,iya btul klo niatnya mau nertibin ppkm kenapa gak wisatanya aja yg ditutup klo siswa mas,246,iya btul kalau niatnya nertibin ppkm tidak wisatanya saja yang ditutup kalau siswa mas
2021-12-04,Pml,246,pml
2021-12-04,PPKM Darurat Pemerintah Kabupaten Pekalongan Tutup Ruas Jalan Otomotif,246,ppkm darurat pemerintah kabupaten pekalongan tutup ruas jalan otomotif
2021-12-04,Hahahahaha Cuma satu yang aku khawatirin kalo ada PPKM,246,hahahahaha khawatirin kalau ppkm
2021-12-04,Hooh yg ini telat ppkm nya,246,hooh yang telat ppkm nya
2021-12-04,Soale PPKM naik lagi kan,246,soale ppkm
2021-12-04,ngindarin ppkm yaa,246,ngindarin ppkm yaa
2021-12-04,Kodim Bangli melalui Babinsa Desa Tembuku Koramil Tembuku Sertu I Nym Jujur menyambangi siswa siswi dan Ga,246,kodim bangli babinsa desa tembuku koramil tembuku sertu supaya nym jujur menyambangi siswa siswi tidak
2021-12-04,MAKSUDNYA APA ANJJJ Klo takut bakal ada cluster baru covid knp tempat liburan ditutup aja trs,246,maksudnya anjjj kalau takut cluster covid kenapa liburan ditutup saja trs
2021-12-04,Kopka Anang Widodo Babinsa Desa Jati di Balai Desa Jati Melaksanakan himbauan kepada warga masyarakat Desa Jati yg,246,kopka anang widodo babinsa desa jawa timur balai desa jawa timur melaksanakan himbauan warga masyarakat desa jawa timur yang
2021-12-04,Serka Haerudin Babinsa Desa Suruhkalang di Balai Desa Suruhkalang Melaksanakan Komsos dengan Babinkamtibmas dan per,246,serka haerudin babinsa desa suruhkalang balai desa suruhkalang melaksanakan komsos babinkamtibmas
2021-12-04,Serka Haerudin Babinsa Desa Suruhkalang di Balai Desa Jati Kec Jaten Kab Karanganyar Melaksanakan himbauan kepada w,246,serka haerudin babinsa desa suruhkalang balai desa jawa timur kec jawa tengah kab karanganyar melaksanakan himbauan saya
2021-12-04,Bener gaksih tanggal ppkm,246,benar gaksih tanggal ppkm
2021-12-04,Pak dudung ini yg nyata menganggu kedaulatan NKRI pengamanan nya ngak spt reuni ngak spt demo ngak spt saat,246,dudung yang nyata menganggu kedaulatan nkri pengamanan nya tidak spt reuni tidak spt demo tidak spt
2021-12-04,Semoga ppkm ya allah,246,semoga ppkm iya allah
2021-12-04,s Jakarta kan masih memberlakukan PPKM apa bedanya ama keramaian waktu resepsi pernikahan kan h,246,saja jakarta memberlakukan ppkm bedanya bersama keramaian resepsi pernikahan sudah
2021-12-04,Unit sabhara polsek Bantul Melaksanakan giat Patroli dialogis serta Himbauan PPKM sambang serta menyampaikan pes,246,unit sabhara polsek bantul melaksanakan giat patroli dialogis himbauan ppkm sambang pes
2021-12-04,Sabtu Pkl WIB s d selesai Sertu Rohmad Koramil Sukodono melaksanakan Giat patroli gabungan,246,sabtu pkl wib saja jadi selesai sertu rohmad koramil sukodono melaksanakan giat patroli gabungan
2021-12-04,gaada kak dri awal ppkm dah ditutup jalur pendakian,246,gaada kak dri ppkm sudah ditutup jalur pendakian
2021-12-04,Ihh kan mau ppkm lagi nanti sebelum tahun baruu,246,ihh ppkm baruu
2021-12-04,gabisa jirr udh mau mulai ppkm lagi disini,246,gabisa jirr udah ppkm
2021-12-04,Amien Besok kan mulai ppkm kan mba Kemaren Romo matur semoga natal bisa ada misa Karena pemerint,246,amien besok ppkm mba kemarin romo matur semoga natal misa pemerint
2021-12-04,Gugus Tugas Kecamatan Tulung melaksanakan patroli PPKM level bersama Muspika dan di lanjutkan razia balapan liar,246,gugus tugas kecamatan tolong melaksanakan patroli ppkm level muspika lanjutkan razia balapan liar
2021-12-04,CARA MENGATASI COVID OMICRON BeritaTerkini beritaViral berita NEWS NewsUpdate Viral viralTiktok,246,mengatasi covid omicron beritaterkini beritaviral berita news newsupdate viral viraltiktok
2021-12-04,Semangat dong uncle kan aku mau meetup sama temen sebelum ppkm lagi,246,semangat uncle meetup temen ppkm
2021-12-04,ppkm pagi pagi kenapa mnangis gfriend jwabannya,246,ppkm pagi pagi mnangis gfriend jwabannya
2021-12-04,Bah pasti efek PPKM taon baru nanti makax stress berat njirrr,246,bah efek ppkm taon makax stress berat njirrr
2021-12-04,singer ppkm gmn,246,singer ppkm gmn
2021-12-04,tiba tiba dah ppkm lvl aja,246,sudah ppkm lvl saja
2021-12-04,Akses Keluar Masuk Kota Makassar Diperketat Saat PPKM Level,246,akses masuk kota makassar diperketat ppkm level
2021-12-04,Iya sis mumpung akhir tahun dan belum PPKM Level,246,iya sis mumpung ppkm level
2021-12-04,Operasi Yustisi Malam Guna Tegakan Aturan PPKM Dilaksanakan Propam Polres Cimahi,246,operasi yustisi malam tegakan aturan ppkm dilaksanakan propam polres cimahi
2021-12-04,PM NL waktu preskon terakhirnya memperketat PPKM sini sempet bahas risiko KDRT untuk perempuan yang makin besar di,246,pm nl preskon terakhirnya memperketat ppkm sempet bahas risiko kdrt perempuan
2021-12-04,Akhir tahun malah ppkm,246,ppkm
2021-12-04,Jelang Pemberlakuan PPKM Level saat Nataru Polsek Mojoroto Laksanakan Operasi Yustisi Imbauan dan Sosialisasi,246,jelang pemberlakuan ppkm level nataru polsek mojoroto laksanakan operasi yustisi imbauan sosialisasi
2021-12-04,N me is F loe siapa nenek yg harus diturutin perintahnya,246,dengan pasti  f loe nenek yang diturutin perintahnya
2021-12-04,Kebasen Desember KaSPK Unit III AIPTU MISLAN amp Anggota Samapta AIPDA TRISNA AGUNG S S H giat patroli mal,246,kebasen desember kaspk unit iii aiptu mislan sampai anggota samapta aipda trisna agung saja saja sudah giat patroli mal
2021-12-04,OPERASI YUSTISI TIM PEMBURU COVID POLSEK MATRAMAN BERSAMA UNSUR TIGA PILAR DALAM RANGKA OPS KONTIJENSI AMAN NU,246,operasi yustisi jawa timur pemburu covid polsek matraman unsur pilar rangka ops kontijensi aman menuntut
2021-12-04,Dapat kabar toys fair batal dikarenakan mau PPKM di Batam Seperti nya saya akan menjual botol dan gelas Starbucks,246,kabar toys fair batal ppkm batam nya menjual botol gelas starbucks
